"","songtitlesum","songlyricsum"
"11","사랑 다 끝난 거야 Vocal 아현","사랑 다 끝난 거야
이렇게 끝인 거야
이대로 너를 보내주는 게
괜찮지 않아 괜찮지 않은데
울어도 소용없고
붙잡아도 소용없고
이젠 내 목소리가
너에겐 닿질 않는지
미안 한없이 가벼워진
너의 말투와 눈빛
더는 못 보겠어
차가운 바람에
마음이 아파와
자꾸 생각나
좋은 기억들은 잊어볼게
차라리 아주 나빴더라면
이별은 조금 쉬웠을까
이렇게 너도 아팠을까 너도
한때는 아름답던
너 없인 못 살겠던
순수했던 그때로
우린 돌아갈 수 없어
미안 이렇게 헤어지자
변해가는 네 모습
더는 못 보겠어
차가운 바람에
마음이 아파와
자꾸 생각나
좋은 기억들은 잊어볼게
차라리 아주 나빴더라면
이별은 조금 쉬웠을까
이렇게 너도 나만큼은 아픈 거니
차가운 바람이 불어와
기억들을 날려 보내
잊을게 오늘은 잊어볼게
사랑하지 않은 것처럼
이별하지 않은 것처럼
사랑 다 끝난 거야
이렇게 끝인 거야
그때로 돌아갈 수는 없어
괜찮을 거야 괜찮아질 거야 제발"
"12","미련 Feat 안녕","어딘가 달라진 너의 표정
괜히 불안한 마음 그땐
모른 척 했어
너무 태연한 듯 이별을 내게 말하는
낯설기만 했던 마지막을
멀어져가는 너를 어떻게도
돌릴 수 없는데 워
그때의 너로 돌아와준다면
뭐든 다 할텐데 워
떠나간 너를 더 잡지 못하고
그대로 잊혀지자 또 다짐해봐도
슬픈 이별 다
거짓말이라고 외쳐봐도
들리지 않는 말 널 사랑해
한참을 서성인 너의 집앞
혹시 네가 나올까
작은 기대도 했어
결국 너를 볼 수 없었던 나였기에
후회로 가득찬 마지막을
멀어져가는 너를 어떻게도
돌릴 수 없는데 워
그때의 너로 돌아와준다면
뭐든 다 할텐데 워
떠나간 너를 더 잡지 못하고
그대로 잊혀지자 또 다짐해봐도
슬픈 이별 다
거짓말이라고 외쳐봐도
들리지 않는 말 널 사랑해
그렇게 나를 잊을까봐
미련이 또 너를 붙잡아서 워
떠나간 너를 잊어야하는데
이대로 돌아서면 마지막일까봐
우리 이별 다
거짓말이라고 외쳐봐도
닿을 수 없는 말 널 사랑해
떠나간 너를 잊어야하는데
이대로 돌아서면 마지막일까봐
우리 이별 다
거짓말이라고 외쳐봐도
닿을 수 없는 말 널 사랑해"
"13","이런 이별도 있어","우리 손을 꼭 잡고
어디든 걷는 걸 좋아했어
늘 서로만 바라보던 그때
정말 좋았는데
가끔 한강에 앉아서
맥주 한 잔에 나눈 얘기들
속상해 울기도 하고
실컷 웃기도 했던
내겐 좋은 추억뿐인데
그랬던 우리는 서로 그래
조금씩 달라진 거 같아
평소와 다르게 그렇게
조금씩 우린 멀어진 거 같아
그래 언제부터인가
늘 잡던 손도 어색해졌어
좀 차가워진 말투와 뜸해지는 문자들
조금 낯설게 느껴질 만큼
이렇게 우리는 서로 그래
조금씩 달라진 거 같아
평소와 다르게 그렇게
조금씩 우린 멀어진 거 같아
서로가 한마디 말도 없이
확신한 듯 다 알고 있는 듯
어떠한 변명도
아무런 이유도 없어
그렇게 우리는 서로 그래
조금씩 이별한 거 같아
준비된 것처럼 그렇게 조금씩
우린 이별한 거 같아
눈물은 나는데 오히려 편안해
이런이별도있어"
"14","생각이 난다 원곡 안녕","우연히 길을 걷다 발을 멈췄어
너와 함께 자주 가던 곳
그 자리야
벌써 몇 년 전 일이니
왜 하필 네 생각이 났니
좋아하는 노래를 잔뜩 부르고
여기 가게에 꼭 들렀지
그 자리야
아직 그대로 잘 있네
나는 잘 있지를 못한데
기억하니
우리 처음 만났던 날
참 재미없는 영활봤지
그럼에도
뭐가 그리 좋았는지
쉴새 없이 얘길 나눴어
너와 잠시 멀어져 있을 때에도
난 여기에 자주 들렀지
생각나서
네 생각 하고 싶어서
옛 생각도 참 많이 난다
기억하니
두 번째 몰래 만난 날
뜬금없는 고백을 했지
서툴던 내
말투가 우스웠는지
밤새 너는 날 놀려댔지
생각하면 별 것 없었던 첫사랑
아픈 기억 하나 없는데
그런데 왜
그게 더 화가 나는지
우린 왜 일찍 만났는지
이 가게에 오니
네 생각이 난다
널 다시 만나는 중이다"
"15","하루만 더 내게 시간을 줄 순 없겠니 Feat 12月","우리 헤어진 그 날 뒤로
울며 너를 잡아보았던 나를
서툰 내 감정을 정리 못 한 말들로
펑펑 울며 너에게 얘기했어
모든 게 다 내 잘못이었다고
상처 주려 했던 게 아니라고
혼자 남겨지는 게
너무나 무서워서
내 감정을 앞세워 널
다시 잡게 됐어
하루만 더 내게 시간을 줄 수 있니
아직은 나 준비가
안 된 거 같아서 미안해
아직 못다 한 말이
내 겐 많이 남아있는데
하루만 더 내게
시간을 줄 순 없겠니
지금 당장은 너무 힘들다고
괜찮아지면 그땐 보낸다고
너를 사랑한 만큼
너를 잊어내기가
아직 나에겐 벅찬 일이라
기다려 달라고
하루만 더 내게 시간을 줄 수 있니
아직은 나 준비가
안 된 거 같아서 미안해
아직 못다 한 말이
내 겐 많이 남아있는데
하루만 더 내게
시간을 줄 순 없겠니
지금이라도 난 괜찮으니까
혹시라도 후회하고 있던 거라면
난 괜찮아 너에겐
난 항상 괜찮을 테니까
내게로 돌아와 네 자리는 여기니까
하루만 더 시간을 줄 순 없겠니
하루라도 더 곁에 머물다 가도 되니
아직 혼자이기엔
나 아직 너무 무서워서
아직 못다 한 말이
내 겐 많이 남아있는데
하루만 더 내게
시간을 줄 순 없겠니"
"16","니가 떠난 그날부터","수줍은 첫 만남
나를 보며 웃었던
그 날의 기억
오늘따라 내겐
또렷하게
처음 고백 했을때
떨리던 날 바라본
그대 눈빛은
사랑스러운
답장이었죠
함께라서
세상 모든게
아름다워
어떤 것도
해낼 수 있다
다짐했는데
그런 우린 어디로
네가 떠난 그날부터
매일 죽어가
네가 남긴 흔적들만
품에 안고서
이렇게 돼 버린 나를
보면 어떨까
아직까지 아직까지
난 놓지 못했어 너를
단 한순간도
행복할땐
너무 빨랐던
시간들이
지금 내가
쓰러져가는
이유가 될까
그런 우릴 그린다
네가 떠난 그날부터
매일 죽어가
네가 남긴 흔적들만
품에 안고서
이렇게 돼 버린 나를
보면 어떨까
아직까진 아직까진
난 놓지 못했어 너를
단 한순간도
후회하고 있다고
이렇게 돼 버린걸
그날부터 난 벗어나지 못해
사랑했어
사랑했어
그 말을 좀 더 해줄껄
너를 만나서 정말 행복했어
나도 따라 떠나갈게
너의 곁으로
우리 모든 추억들을
영원으로 가
이제 다신 이별없는
사랑만 하자
보고싶어 보고싶어
난 지금 당장도 너를
기다려줄래"
"17","너를 그린 우주 Insomnia2020 Feat 이라온","잠들기 전
눈을 감으면
떠오르는 이름 하나
깊은 새벽
오랜 생각을 만드네
넌 어쩜 그리 예쁘면서
성격도 좋은지
널 감싸는 빛 나까지도
빛나게 하는지
내가 꿈꿔왔던
꿈과 드디어 만난 거야
난 밤이 오면
니 생각에 잠이 오지 않아
그래도 설레임에 일찍 눈을 떠
나도 모르게 내 안으로 들어와
날이 갈수록 점점 맘은 깊어지는데
술 마시는 날이면 더 보고 싶고
날씨 좋으면 함께 놀러 가고 싶어
잠이 오지 않아 난 너 때문에
요즘 날 웃게 만드는 너 때문에
그대 눈 코 입
그대 목소리
내 길고 긴 하루의 시작과 끝엔
언제나 니가 찾아와
나의 우주는 이미 너에게로
넌 어쩜 그리 웃는 모습이
아름다운지
날 감싼 어둠까지
모두 잊게 만드는지
너 모르길 바랬지만
이젠 들키고 싶은걸
난 밤이 오면
니 생각에 잠이 오지 않아
그래도 설레임에 일찍 눈을 떠
나도 모르게 내 안으로 들어와
날이 갈수록 점점 맘은 깊어지는데
술 마시는 날이면 더 보고 싶고
날씨 좋으면 함께 놀러 가고 싶어
잠이 오지 않아 난 너 때문에
요즘 날 웃게 만드는 너 때문에
난 네게 전화해
가끔 그냥 뭐하냐고 실없이 묻지만
맘은 그게 아닌걸
사실 머릿속은 하얗고
가슴은 두근거렸어
사랑해
너의 모든 게 아름다워
잠 못 드는 밤 설레이는 밤
열린 창문 밖으로 날아가
너를 안고 싶어
난 밤이 오면
니 생각에 잠이 오지 않아
그래도 설레임에 일찍 눈을 떠
나도 모르게 내 안으로 들어와
날이 갈수록 점점 맘은 깊어지는데
술 마시는 날이면 더 보고 싶고
날씨 좋으면 함께 놀러 가고 싶어
잠이 오지 않아 난 너 때문에
요즘 날 웃게 만드는 너 때문에
잠이 오지 않아 난 너 때문에
요즘 날 웃게 만드는 너 때문에"
"18","잠이 오지 않는 새벽 feat 머쉬멜로우","잠들지 못하고 뒤척이다
어느새 새벽이야
네가 내 생각하고 있다면 얼마나 좋을까
힘겨운 날들 나의 두 손 꼭잡아 줄래
다 괜찮다 해줘 모든게 잘 될거라 해줘
차가운 새벽의 온도처럼
시리게 느껴진 건
힘겨워 버틸수 없을만큼 지쳐서였을까
한없이 울던 나의 모습 보이기 싫어
다 괜찮다해줘 모든게 잘 될거라 해줘
버겁기만 했었던 그런 모든 일들도
시간이 지나면 된다고 사람들은 말하지
나는 아직 힘든데 날 위해 기도해줘
날 위해 기도해줘"
"19","변했어","너 참 변했어
점점 더 말이 없어져
나만 알던 너의 눈엔
이젠 내가 안 보여
왜 날 피하는데
바빠진 거 아는데
언제부턴가 네 일들이
나보다 더 중요해진 것만 같아서
나를 바라보던 눈빛이 변했어
나를 안아주던 포근했던 네 품이
다 변했어 달라졌어
나를 불러주던 따뜻한 목소리가
언젠지 기억이 안 나
바보처럼 나만 알던 네가 그리워
내 손 꼭 잡고
어디든 함께 다니던
참 서툴러도 설레었던
그날들이 좋았어
영원이란 건
없다는 걸 알지만
언제부턴가 네 옆의 내가
너무나 당연해진 것만 같아서
나를 바라보던 눈빛이 변했어
나를 안아주던 포근했던 네 품이
다 변했어 달라졌어
나를 불러주던 따뜻한 목소리가
언젠지 기억이 안 나
바보처럼 나만 사랑했던
둘만으로 세상이 가득했던
사랑 하나로 충분했던
그때의 우리가 부러워
나만 사랑한단 약속도 변했어
내가 그렇게도 믿어왔던 모든 게
다 변했어 다 끝났어
다시 돌아갈 수 없는 그때 우리가
너무나 그리워도
이젠 나 너를 놓아줘야 하나 봐"
"20","숨 쉴 수 없어 Prod 영화처럼","말하고 싶은데
어딘가 막혀버려서
굳게 닫혀진 내 마음 더는
움직일 수 없어요
진심이 어떤 건가요
어떻게 볼 수 있나요
아픔이 두려워 어디로도
난 갈 수 없어요
그냥 내게 말을 해줘
모두 내 탓이라면
차라리 놓을 수라도 있게
미련하게 또 남겨져
숨 쉴 수조차 없이
아무 말 못 하는 내가
이젠 말하고 싶은데
내 맘속 새겨진 그 말
슬픔에 갇혀버린 내 모습
보기 싫을까 봐
그냥 내게 말을 해줘
모두 내 탓이라면
차라리 놓을 수라도 있게
미련하게 또 남겨져
숨 쉴 수조차 없이
아무 말 못 하는 내가
늘 그랬던 것처럼
괜찮은 척 잘 지내도
나도 모르게 찾아와 워어어
그냥 내게 말을 해줘
모두 내 탓이라면
차라리 놓을 수라도 있게
미련하게 또 남겨져
숨 쉴 수조차 없이
아무 말 못 하는 내가
자꾸 더 멀어져 가는
그댈 잡을 수 없이
아무 말 못 하는 내가"
