"","playlistlikesum","songtitlesum","songlikesum","singersum","songlyricsum"
"11","3280","별","5233","임한별","Far away I feel you shooting star 오늘도 널 바라보지만 내 기억엔 흐릿하게 남은 너의 숨결뿐이야 너를 느낄 뿐이야 살며시 너를 불러보다 멀어질까 봐 난 두려워져 눈이 부시게 아름다웠던 추억만큼만 내 곁에 있어줘 조금은 가까이 멀리에서도 그리워한 만큼 나를 기억해 줘 Far away Im with you shooting star 여전히 널 그려보는 이 밤 눈 감으면 더 선명해지는 네가 아플 뿐이야 또 그리울 뿐이야 꿈에서마저 널 그리다 깨어날까 봐 난 두려워져 우리 눈이 부시게 아름다웠던 추억만큼만 내 곁에 있어줘 조금은 가까이 멀리에서도 그리워한 만큼 나를 기억해 줘 시간이 또 지나가도 오래도록 머무는 이 자리 그대만의 향기가 남겨져 영원할 수 있는 간절한 바람도 지금도 바라보고 있어 곁에 있어도 그리워지는 널 조금은 가까이 멀리에서도 날 잊지 말아 줘 그곳에 있어줘"
"12","3280","널 사랑했던 한 사람","8878","펀치 Punch","사랑이란 말로 다 얘기할 수 없나 봐 너의 그 말들이 날 슬프게 해 넌 이렇게 떠나가지만 네가 행복할 수 있다면 그걸로 충분해 멀어지는 너의 뒷모습 보면서 기다리라는 말 난 하기가 힘들어 차가워진 눈물까지 이별이라고 할순 없잖아 조금 더 늦지않게 나에게로 돌아와 떨어지는 이 눈물까지가 내가 널 위해 해주는 마지막 인사가 될테니까 잘 지내줘 흐릿해져만 가는 나의 두 눈에 고인 눈물은 여전히 멈추지 않아 널 이렇게 사랑하지만 네가 떠나가야 한다면 웃으며 보낼게 이별은 늘 익숙해지지 않는걸 난 어떻게 해야 널 다 잊을 수 있겠니 차가워진 눈물까지 이별이라고 할순 없잖아 조금 더 늦지않게 나에게로 돌아와 떨어지는 이 눈물까지가 내가 널 위해 해주는 마지막 인사가 될테니까 잘 지내줘 하나만 꼭 하나만 잊지는 말아주길 널 사랑했던 한 사람 안녕이라는 말보다 미소로 너를 보내줄거야 아직도 널 붙잡아 곁에 두고 싶지만 떨어지는 이 눈물까지가 내가 널 위해 해주는 마지막 인사가 될테니까 잘 지내줘"
"13","3280","야작시夜作詩","7616","적재","비가 오면 생각이 나 네가 자주 했던 말 흥얼대는 내 목소리가 빗소릴 닮았다던 바람 소리에 문득 잠에서 깬 이 순간에 네 생각이 다시 잠들래 넌 지금 어디에 있을까 뭘 하고 있을까 새벽이면 자꾸만 그 시절을 살게 돼 비 내리던 어느 여름밤 내 손을 감싸던 너의 온기 그 모든 게 생각나 그 시절을 살게 해 넌 어때 넌 지금 어디에 있을까 뭘 하고 있을까 새벽이면 자꾸만 그 시절을 살게 돼 비 내리던 어느 여름밤 내 손을 감싸던 너의 온기 그 모든 게 생각나 그 시절을 살게 해 넌 어때"
"14","3280","Speechless","5273","스탠딩 에그","시간이 없다면서 나를 재촉하죠 이미 문 앞에 서 기다리는데 한참을 달라진 게 없냐며 나를 바라보죠 이미 눈앞에 그대는 나에게 완벽해 매번 겪는 일이지만 아무 말도 안 나와 너의 눈을 볼 때마다 im speechless 예쁜 미소 한 번으로 그댄 나의 모든 시간을 멈추죠 그저 난 바라볼 수밖에 im speechless 짧은 입맞춤으로도 그댄 나의 맘속 성벽을 허물죠 그저 난 무너질 수밖에 im speechless 말을 하지 않아도 난 숨길 수 없죠 그대가 내게 인사했을 때 느꼈죠 그대가 다 가져갔죠 내 모든 숨도 그대가 다 바꿔놨죠 내 모든 꿈도 im speechless 예쁜 미소 한 번으로 그댄 나의 모든 시간을 멈추죠 그저 난 바라볼 수밖에 im speechless 짧은 입맞춤으로도 그댄 나의 맘속 성벽을 허물죠 그저 난 무너질 수밖에 im speechless 매번 겪는 일이지만 아무 말도 안 나와 너를 눈을 볼 때마다 im speechless 미소 한 번으로 심장을 멈추죠 그저 난 바라볼 수밖에 im speechless 짧은 입맞춤으로도 그댄 나의 맘속 성벽을 허물죠 그저 난 내어줄 수밖에 im speechless"
"15","3280","너의 달빛","8745","첸 CHEN","몇 번을 걸어왔던 길 끝엔 네가 있어서 참 좋았어 지금도 난 행복해 익숙해진 우리의 길 오 변하지 않게 내게 남아줘요 내 곁에서 oh love 깊어진 너의 달빛이 꿈에서 보여요 똑같은 너의 하늘은 몇 번을 더 보아도 난 행복해 나에겐 언제나 넌 꿈이야 이미 넌 충분해 언제나 바래왔던 그 사람 바라만봐도 참 좋았어 그걸로 충분했어 온종일 밤을 새워도 오 너의 생각은 멈춰지지 않아 한순간도 oh love 깊어진 너의 달빛이 꿈에서 보여요 똑같은 너의 하늘은 몇 번을 더 보아도 난 행복해 나에겐 언제나 넌 꿈이야 이미 충분하니까 또 오랜 시간이 흘러 내 손 잡은 사람 너이길 바래 그저 우리 함께 있다면 깊어진 마음이 너를 향해 있어 아프던 지난 날들은 이젠 모두 지워줄게 몇 번을 보아도 언제나 넌 꿈이야 이미 넌 충분해"
"16","3280","밤새 취향저격 그녀 X 카더가든","22317","카더가든","나는 아름다운 꿈을 꾼 건진 모르겠네 눈이 부셨던가 그 순간을 잊을 수가 없네 햇살이 좋은 날 운명처럼 다가온 그대 꽃향기가 날 것 같은 그댄 woo woo woo woo 밤새 잠 못 드는 내 맘 알까요 그댄 알까요 wah uh uh 밤새 고민해요 왜 이럴까요 어떻게 하죠 oh woo woo woo woo woo woo woo woo woo woo woo woo woo woo woo woo woo woo woo 처음 본 그 순간 기억하고 난 기억해요 멈춰진 것 같던 그 시간들 woo woo woo woo 밤새 잠 못 드는 내 맘 알까요 그댄 알까요 wah uh uh 밤새 고민해요 왜 이럴까요 어떻게 하죠 oh woo woo woo woo woo woo woo woo woo woo woo woo woo woo woo woo woo woo woo 가슴 떨려 오는 감정이 느껴져요 wah uh 원했던 그 사랑 그 사람이 왔네요 wah uh 까만 밤 하늘에 그대 얼굴을 그려봐요 깊어지는 내 맘 알아줘요 woo woo woo woo"
"17","3280","HAVE A GOODNIGHT 취향저격 그녀 X 셔누 몬스타엑스 민혁 몬스타엑스","11871","셔누 몬스타엑스","매일 밤 달이 뜨면 까마득한 하늘 그대 보여요 Yeah 솔직히 말해봐요 나는 오늘도 그대가 좋아요 눈을 감았다가 또 떠보면 한 뼘 앞에 예쁜 얼굴을 하고 있는 걸 오늘도 이 밤이 참 아름답네요 나의 품에 안겨봐 아무 걱정 마요 또렷이 기억해요 별이 떨어질 때 소원을 말해요 Ill see you in your love 잠이 오지는 않을 건가 봐요 그대의 작은 숨소리 귓가를 간지럽게 해 유난히 빛나는 그대 하루도 쉽지는 않았죠 참 잘했어 그대 이제 Have a goodnight 지나간 건 잊어요 어지러운 생각은 버려도 돼요 좋은 아침일 거야 그저 이런 기분으로 살아요 지켜내지 못한 약속들도 걱정 마요 괜찮을 거야 좀 더 그대를 믿어봐 Good morning 인사를 해봐요 나의 품에 안겨봐 아무 걱정 마요 또렷이 기억해요 별이 떨어질 때 소원을 말해요 Ill see you in your love 잠이 오지는 않을 건가 봐요 그대의 작은 숨소리 귓가를 간지럽게 해 유난히 빛나는 그대 하루도 쉽지는 않았죠 그대 이제 Have a goodnight 눈을 마주 보며 입을 맞추고 그댈 안아줄 항상 곁에 있는 나를 잊지는 말아요 Ill see you in your love 잠이 오지는 않을 건가 봐요 그대의 작은 숨소리 귓가를 간지럽게 해 유난히 빛나는 그대 하루도 쉽지는 않았죠 참 잘했어 그대 이제 Have a goodnight Have a goodnight"
"18","3280","Feel You","10071","신용재 2F","아직 널 기억해 밤하늘 별들의 길처럼 빛났었지 아무 방향 없이 마른 공기를 헤매던 내게 와주었어 어쩌면 잘못된 선택일지 몰라 그저 미안해 이 이야기의 끝이 어디일지는 몰라도 가야만 해 I feel you 운명처럼 느껴 위험이어도 힘에 겨워도 이 숨이 뛰는 순간순간 놓지 않을게 너를 위해서 I feel you 거친 폭풍 한가운데를 향해도 겁내지 않게 해줘 이렇게 너에게로 멈추지 않게 해 널 지킬 수 있게 후회는 하지 않을 거야 가시길 같은 이 거짓 속에서 상처뿐이라 해도 널 사랑했던 건 내 삶이 있던 이유였어 그것뿐이야 지나는 바람에 이 마음을 실어 보내주길 전해주길 해와 달이 없는 내 세상엔 오직 너만이 이 꽃을 피워내 I feel you 운명처럼 느껴 위험이어도 힘에 겨워도 이 숨이 뛰는 순간순간 놓지 않을게 너를 위해서 I feel you 거친 폭풍 한가운데를 향해도 겁내지 않게 해줘 이렇게 너에게로 멈추지 않게 해 널 지킬 수 있게"
"19","3280","Close To Me","4552","펀치 Punch","stay with me close to me stay with me lean on me 늘 내 곁에 있던건 언제나 너였었어 날 위로해준건 i cant believe i dont believe 곁에 있어줘 영원토록 이젠 너 없이는 나 하루도 버틸 수가 없게 됐어 its you stay with me close to me stay with me lean on me 난 네 곁에 있을게 약속해 너를 떠날 이유란건 없어 i cant believe i dont believe 곁에 있어줘 영원토록 이젠 너 없이는 나 하루도 모든 순간이 힘들단걸 아니까 많이 아플 때도 가끔은 지칠 때도 네가 있어서 또 너라서 괜찮아 oh love 지켜줄게 기다릴게 너란 이유로 하나로 이젠 너 없이는 나 하루도 안될 것 같아 지금도 its you"
"20","3280","듣고 싶던 말","11412","허각","너는 모르지 네 생각뿐인 날 모르지 그런 거지 이 바보야 이 바보야 왜 또 울어 더 속상하게 말도 안 되는 거 알고 있지만 이렇게라도 너를 보고 싶었어 하지만 달라질 게 없겠지 이미 다 끝난 거겠지 듣고 싶던 말이 아직도 남아서 잠도 잘 못 자 익숙함에 외면했었던 사랑한다던 고마운 그 말이 이렇게 날 아프게 할지 몰랐었어 시간이 내게 돌아와 준다면 네가 와 준다면 하루하루 내가 다시는 울지 않게 널 안아줄게 혼자서 하는 다짐 속에 너를 느껴 조금 길어진 저녁 그림자 내릴 때쯤 그리워져 괜찮다 했는데 아니었나 봐 웃다가 또 울다가 생각나게 해 어쩌면 너도 나와 같을까 혼자서 아프진 않을까 듣고 싶던 말이 아직도 남아서 잠도 잘 못 자 익숙함에 외면했었던 사랑한다던 고마운 그 말이 이렇게 날 아프게 할지 몰랐었어 시간이 내게 돌아와 준다면 네가 와 준다면 하루하루 내가 다시는 울지 않게 널 안아줄게 혼자서 하는 다짐 속에 너를 느껴 하나 둘 비웠던 네 마음 다 알아서 용기가 안 나 지금이라도 너를 당장이라도 꼭 너를 끌어안고 붙잡고 싶어 하고 싶은 말이 아직도 남아서 미련이 많아서 너를 울려 후회됐었던 아프게 했던 미안한 그 말이 내게 돌아올지 몰랐어 시간이 내게 돌아와 준다면 네가 와 준다면 하루하루 내가 다시는 울지 않게 널 안아줄게 혼자 하는 다짐 속에 너를 느껴"
